,Адрес объекта,Тип Объекта,Этажность объекта,Дата постройки,Общая площадь объекта
303,"пр-кт Октября, д.116 корп.2",Многоквартирный дом,5,1960-01-01 00:00:00,1591.2
304,"пр-кт Октября, д.116 корп.4",Многоквартирный дом,5,1960-01-01 00:00:00,1609.8
305,"пр-кт Октября, д.117",Многоквартирный дом,5,1960-01-01 00:00:00,3514.1
306,"пр-кт Октября, д.117 корп.1",Многоквартирный дом,5,1960-01-01 00:00:00,3187.9
307,"пр-кт Октября, д.117 корп.1а",Другое строение,1,,0.01
308,"пр-кт Октября, д.117 корп.2",Многоквартирный дом,4,1998-01-01 00:00:00,3184.8
309,"пр-кт Октября, д.117 корп.3",Другое строение,1,,0.01
310,"пр-кт Октября, д.117 цтп",Другое строение,5,1960-01-01 00:00:00,0.01
311,"пр-кт Октября, д.118",Многоквартирный дом,5,1960-01-01 00:00:00,3770.1
312,"пр-кт Октября, д.118 корп.1",Многоквартирный дом,5,1960-01-01 00:00:00,1605.2
313,"пр-кт Октября, д.118 корп.2",Многоквартирный дом,5,1960-01-01 00:00:00,1604.5
314,"пр-кт Октября, д.119",Другое строение,1,,0.01
315,"пр-кт Октября, д.119 корп.1",Многоквартирный дом,4,1961-01-01 00:00:00,2608.2
316,"пр-кт Октября, д.119 корп.2",Другое строение,1,,0.0
317,"пр-кт Октября, д.119 корп.3",Многоквартирный дом,7,1995-01-01 00:00:00,2901.0
318,"пр-кт Октября, д.119 корп.3а",Другое строение,1,,0.01
319,"пр-кт Октября, д.12",Многоквартирный дом,5,1950-01-01 00:00:00,5850.6
320,"пр-кт Октября, д.12 корп.1",Многоквартирный дом,5,1978-01-01 00:00:00,2690.7
321,"пр-кт Октября, д.12 корп.2",Многоквартирный дом,12,1990-01-01 00:00:00,4220.3
322,"пр-кт Октября, д.12 корп.2а",Другое строение,1,1992-01-01 00:00:00,0.01
323,"пр-кт Октября, д.12 корп.4",Другое строение,1,,0.01
324,"пр-кт Октября, д.120",Другое строение,4,,0.01
325,"пр-кт Октября, д.120 корп.А",Другое строение,2,,0.01
326,"пр-кт Октября, д.121",Многоквартирный дом,5,1961-01-01 00:00:00,3449.5
327,"пр-кт Октября, д.121 корп.1",Многоквартирный дом,5,1961-01-01 00:00:00,3190.0
328,"пр-кт Октября, д.121 корп.1а",Многоквартирный дом,9,1970-01-01 00:00:00,5191.3
329,"пр-кт Октября, д.122",Многоквартирный дом,5,1960-01-01 00:00:00,3217.6
330,"пр-кт Октября, д.122 корп.1",Многоквартирный дом,5,1960-01-01 00:00:00,1679.9
331,"пр-кт Октября, д.122 корп.2",Многоквартирный дом,5,1960-01-01 00:00:00,3153.3
332,"пр-кт Октября, д.122 корп.3",Многоквартирный дом,5,1960-01-01 00:00:00,1609.6
333,"пр-кт Октября, д.122 корп.4",Многоквартирный дом,6,2002-01-01 00:00:00,4428.7
334,"пр-кт Октября, д.123",Многоквартирный дом,5,1961-01-01 00:00:00,3411.1
335,"пр-кт Октября, д.124",Многоквартирный дом,5,1959-01-01 00:00:00,3410.1
336,"пр-кт Октября, д.124 корп.2",Многоквартирный дом,5,1960-01-01 00:00:00,1616.0
337,"пр-кт Октября, д.124 корп.3",Многоквартирный дом,5,1959-01-01 00:00:00,1599.0
338,"пр-кт Октября, д.124 корп.А",Другое строение,2,,0.01
339,"пр-кт Октября, д.125",Многоквартирный дом,5,1962-01-01 00:00:00,3348.4
340,"пр-кт Октября, д.126",Многоквартирный дом,5,1960-01-01 00:00:00,3785.6
341,"пр-кт Октября, д.126 корп.1",Многоквартирный дом,5,1959-01-01 00:00:00,3193.6
342,"пр-кт Октября, д.126 корп.2",Многоквартирный дом,5,1960-01-01 00:00:00,1627.2
343,"пр-кт Октября, д.126 корп.3",Многоквартирный дом,5,1960-01-01 00:00:00,1896.0
344,"пр-кт Октября, д.126 корп.4",Многоквартирный дом,5,1959-01-01 00:00:00,1614.2
345,"пр-кт Октября, д.126 корп.5",Многоквартирный дом,5,1960-01-01 00:00:00,1596.5
346,"пр-кт Октября, д.126 корп.6",Многоквартирный дом,5,1960-01-01 00:00:00,1608.8
347,"пр-кт Октября, д.127",Многоквартирный дом,5,1962-01-01 00:00:00,3275.1
348,"пр-кт Октября, д.127 корп.1",Многоквартирный дом,5,1962-01-01 00:00:00,2735.7
349,"пр-кт Октября, д.127 корп.1а",Многоквартирный дом,9,1968-01-01 00:00:00,5256.7
350,"пр-кт Октября, д.128",Многоквартирный дом,9,1963-01-01 00:00:00,2858.8
351,"пр-кт Октября, д.128 корп.1",Многоквартирный дом,5,2001-01-01 00:00:00,4992.41
352,"пр-кт Октября, д.128 корп.2",Многоквартирный дом,10,2001-01-01 00:00:00,5977.9
353,"пр-кт Октября, д.128 корп.3",Многоквартирный дом,13,2003-01-01 00:00:00,4200.8
354,"пр-кт Октября, д.129",Другое строение,2,,0.02
355,"пр-кт Октября, д.129 корп.1",Многоквартирный дом,5,1962-01-01 00:00:00,3212.7
356,"пр-кт Октября, д.129 корп.2",Другое строение,1,,0.01
357,"пр-кт Октября, д.129 корп.3",Другое строение,1,,0.01
358,"пр-кт Октября, д.13",Многоквартирный дом,5,1962-01-01 00:00:00,3230.2
359,"пр-кт Октября, д.13 корп.1",Многоквартирный дом,5,1965-01-01 00:00:00,3209.3
360,"пр-кт Октября, д.130",Многоквартирный дом,5,1962-01-01 00:00:00,3281.4
361,"пр-кт Октября, д.130 корп.1",Многоквартирный дом,5,1962-01-01 00:00:00,3289.0
362,"пр-кт Октября, д.130 корп.2",Многоквартирный дом,6,1990-01-01 00:00:00,2033.8
363,"пр-кт Октября, д.130 корп.3",Многоквартирный дом,6,1989-01-01 00:00:00,1985.0
364,"пр-кт Октября, д.130 корп.4",Многоквартирный дом,6,1991-01-01 00:00:00,1839.1
365,"пр-кт Октября, д.131",Многоквартирный дом,5,1962-01-01 00:00:00,3545.7
366,"пр-кт Октября, д.131 корп.1",Многоквартирный дом,5,1962-01-01 00:00:00,2780.4
367,"пр-кт Октября, д.131 корп.А",Другое строение,1,,0.01
368,"пр-кт Октября, д.132",Многоквартирный дом,5,1962-01-01 00:00:00,2823.5
369,"пр-кт Октября, д.132 корп.1",Многоквартирный дом,5,1962-01-01 00:00:00,3458.5
370,"пр-кт Октября, д.132 корп.2",Многоквартирный дом,5,1968-01-01 00:00:00,3228.18
371,"пр-кт Октября, д.132 корп.3",Другое строение,9,,0.01
372,"пр-кт Октября, д.133",Многоквартирный дом,5,1962-01-01 00:00:00,5904.3
373,"пр-кт Октября, д.133 корп.1",Многоквартирный дом,5,1962-01-01 00:00:00,3213.0
374,"пр-кт Октября, д.133 корп.2",Другое строение,1,,0.01
375,"пр-кт Октября, д.134",Многоквартирный дом,5,1961-01-01 00:00:00,2504.1
376,"пр-кт Октября, д.134 корп.1",Многоквартирный дом,5,1961-01-01 00:00:00,3154.0
377,"пр-кт Октября, д.134 корп.2",Многоквартирный дом,5,1961-01-01 00:00:00,3516.4
378,"пр-кт Октября, д.135",Многоквартирный дом,12,1974-01-01 00:00:00,6125.5
379,"пр-кт Октября, д.135 корп.1","Административные здания, конторы",4,2019-11-01 00:00:00,0.02
380,"пр-кт Октября, д.136",Многоквартирный дом,5,1962-01-01 00:00:00,3740.3
381,"пр-кт Октября, д.136 корп.1",Многоквартирный дом,5,1961-01-01 00:00:00,1644.8
382,"пр-кт Октября, д.136 корп.2",Многоквартирный дом,5,1962-01-01 00:00:00,3550.8
383,"пр-кт Октября, д.137",Другое строение,5,,0.01
384,"пр-кт Октября, д.14",Многоквартирный дом,5,1959-01-01 00:00:00,5314.3
385,"пр-кт Октября, д.14 корп.1",Многоквартирный дом,5,1970-01-01 00:00:00,2692.0
386,"пр-кт Октября, д.14 корп.2",Многоквартирный дом,6,1994-01-01 00:00:00,3165.2
387,"пр-кт Октября, д.141",Другое строение,3,,0.01
388,"пр-кт Октября, д.142",Многоквартирный дом,5,1961-01-01 00:00:00,3805.6
389,"пр-кт Октября, д.142 корп.1",Многоквартирный дом,5,1961-01-01 00:00:00,1600.5
390,"пр-кт Октября, д.142 корп.2",Многоквартирный дом,5,1962-01-01 00:00:00,3556.3
391,"пр-кт Октября, д.142 корп.3",Многоквартирный дом,5,1962-01-01 00:00:00,3533.3
392,"пр-кт Октября, д.142 корп.4",Многоквартирный дом,5,1967-01-01 00:00:00,2564.5
393,"пр-кт Октября, д.142 корп.5",Многоквартирный дом,11,1998-01-01 00:00:00,6209.7
394,"пр-кт Октября, д.143",Другое строение,1,,0.01
395,"пр-кт Октября, д.144",Многоквартирный дом,5,1961-01-01 00:00:00,2530.1
396,"пр-кт Октября, д.144 корп.1",Многоквартирный дом,5,1961-01-01 00:00:00,2861.4
397,"пр-кт Октября, д.144 корп.2",Многоквартирный дом,5,1961-01-01 00:00:00,3152.8
398,"пр-кт Октября, д.144 корп.3",Другое строение,4,,0.05
399,"пр-кт Октября, д.146",Многоквартирный дом,5,1960-01-01 00:00:00,3368.86
400,"пр-кт Октября, д.146 корп.1",Многоквартирный дом,4,1960-01-01 00:00:00,1493.5
401,"пр-кт Октября, д.146 корп.2",Многоквартирный дом,4,1960-01-01 00:00:00,2601.2
402,"пр-кт Октября, д.148",Другое строение,1,,0.01
403,"пр-кт Октября, д.149",Другое строение,5,,
404,"пр-кт Октября, д.15",Многоквартирный дом,5,1963-01-01 00:00:00,6801.8
405,"пр-кт Октября, д.15 корп.1",Многоквартирный дом,9,1990-01-01 00:00:00,5774.3
406,"пр-кт Октября, д.150",Многоквартирный дом,5,1960-01-01 00:00:00,3141.5
407,"пр-кт Октября, д.150 корп.1",Многоквартирный дом,4,1960-01-01 00:00:00,1345.5
408,"пр-кт Октября, д.150 корп.2",Многоквартирный дом,4,1960-01-01 00:00:00,2525.8
409,"пр-кт Октября, д.152",Многоквартирный дом,18,1992-01-01 00:00:00,5720.4
410,"пр-кт Октября, д.152 корп.1",Многоквартирный дом,22,2010-01-01 00:00:00,7120.5
411,"пр-кт Октября, д.152 корп.цтп",Другое строение,18,1992-01-01 00:00:00,0.01
413,"пр-кт Октября, д.153",Другое строение,3,,0.01
414,"пр-кт Октября, д.155",Другое строение,9,,0.01
415,"пр-кт Октября, д.156",Другое строение,2,2023-10-01 00:00:00,0.01
416,"пр-кт Октября, д.158",Многоквартирный дом,9,1970-01-01 00:00:00,13077.9
417,"пр-кт Октября, д.158 корп.П",Другое строение,9,,0.0
418,"пр-кт Октября, д.16",Многоквартирный дом,5,1958-01-01 00:00:00,4258.0
419,"пр-кт Октября, д.16 корп.1",Многоквартирный дом,5,1976-01-01 00:00:00,4133.8
420,"пр-кт Октября, д.16 корп.2",Многоквартирный дом,5,1969-01-01 00:00:00,3226.0
421,"пр-кт Октября, д.16 корп.3",Многоквартирный дом,5,1972-01-01 00:00:00,2650.0
422,"пр-кт Октября, д.160",Многоквартирный дом,5,1963-01-01 00:00:00,3351.1
